paper,title,authors
M4,Former eight look kind mother dinner,Renee Reid and Robert Lester
M6,Head side create manager act,"Paula Stanley, Erin Hardin and Troy Turner"
M13,Middle father yard act message computer thank,"Dr. Michelle, Sheena Meyer and William Bailey"
M15,Black PM year turn many require,Donna Weiss and Whitney Wilson
M19,Already skill start health culture give sport many,"Preston Compton, Krista Lee, Robert Williamson and Jeff Berry"
M22,Protect drug today tough little human note item,Denise Wong and Daniel Bell
M23,I truth even series difference design,Karen Williams
M26,Doctor road recently certain might,"Mrs. Sarah, Victor Mitchell and Diane Grant"
M40,Sing follow political remain,Mrs. Virginia and Melissa Wilson
M43,Half oil forward world,Phyllis Salas and Michelle Martinez
M58,Everyone new participant side,"Nicholas Anderson, Katie Williams, Ray Waters, Dr. Taylor and Jeanette Howard"
M75,Foreign your have attorney system,"Christopher Diaz, Martha Stone, Amanda Sims, William Marsh and Cody Morgan"
M78,Matter edge while firm race several usually,"Andrea Dominguez, Donald Price, Nicole Douglas, Tara Kennedy and Dr. Mark"
M79,Order performance stop all material would their,Keith Wilson
M81,Laugh future whole fill,"Mason Howard, Mrs. Sarah, Nicole Benson, Teresa Jones and Courtney Gutierrez"
M91,Evening growth its wide,Natalie Curtis
M100,Young local check chair,"Ashley Gross, Jamie Perez and Michael Guerrero"
M113,Building sense remember pattern Mr bad cut,"Jason Woods, Martha Davis, Drew Ryan, Amy Harmon and Alec Crawford"
M118,Entire talk board book responsibility,Michael Hudson and Henry Adams
M120,Central create practice would oil hair mouth standard,Lisa Johnson and Gabriel Oconnor
M123,Remain activity across final admit,"Linda Brown, Matthew Holloway, Becky Ellis and Robin Williams"
M126,Outside animal picture agree true may me,"Julie Wallace, Lisa Harris, Ryan Martinez and Robert Pope"
M129,Street answer month send political source,"Amanda Aguilar, Cynthia Gonzalez and Derek Griffin"
M130,Drop yet perhaps four forward,"John Johnson, Mary Moody and Ashley Good"
M135,Foreign radio current feeling,"Bridget Quinn, Robert Thomas, Alicia Robinson, Laura Peterson and David Lopez"
M139,Alone bank respond at heart argue,"Christopher Evans, Daniel Allen and Jennifer Gross"
M146,Entire election wide drug law material feeling idea,"Grant Harris, Catherine Smith, Eric Brown and Walter Underwood"
M147,Certainly bring grow,"Jeremy Moss, Derek Hernandez, Kathleen Lopez and April Ayers"
M150,Though leader church one,"Jeffrey Alvarez, Alan Beck and William Colon"
M153,Hotel meet activity actually interest,Robin Sanders
M160,Option affect firm money,"Heidi Thompson, Zachary Campos, Benjamin Davis, Jamie Perez and Monica Clark"
M178,Where raise on,Jesse Johnson
M191,Good sign hard last,"James Barajas, Michael Salazar, Eric Spencer and Kathryn Collins"
M193,Dinner include statement factor,"Karen Powers, Michael Wood, Brandon Robinson and Mark Hicks"
M197,Job product these forget organization tonight Congress,Phyllis Salas
M209,Word late certainly lose scene,Barbara Doyle
M210,You real lot nature,"Brian Santos, Stephanie Jones, Melinda Moran, Timothy Gray and Kenneth Bailey"
M214,Clearly officer up difference put true,Brandon Zamora and David Gonzales
M222,Travel kid wish notice place garden professional,"Corey Weeks, Rodney Dunn and Curtis Ponce"
M237,Throw senior how know individual,"Brianna Oconnell, Daniel Williams, Cody Freeman, Hector Weber and Derek Cook"
M241,Red myself like produce consumer upon argue,Diane Morales and Jennifer Massey
M246,Off plant if bring professional watch soon economy,Michael Harris and Stacy Reid
M252,Now nation mother rule action pay without this,James Young
M253,Today family field cultural,"Michael Benson, Daniel Cooper and Kimberly Davis"
M261,Know eight official,Shane Brown and Brian Rogers
M267,Staff woman interest laugh bank agree improve,Julie Lutz and Bridget Clark
M273,Animal range among his style food recently,"Chelsea Webster, Maria Long and Juan Massey"
M277,Accept call relationship quite plan generation still,George Robinson
