submission #,reviews,scores,remaining,title
308,1,10,,Interview black continue although party
328,1,10,,Himself professional whom site education another pattern
612,1,10,,Indeed people may discussion see
728,1,10,,Finish project group between hair response
841,1,10,,Without turn born bag company
140,1,9,,Own how building man
249,1,9,,Amount claim month probably
259,1,9,,Site although blood place
359,1,9,,Step cover great newspaper section foot center strong
481,1,9,,Carry ground mind than family skill deal
675,1,9,,Way general everybody television time
742,1,9,,Politics day rate if reality right chance
897,1,9,,Full industry but response analysis such particular
7,1,8,,Knowledge last important again
172,1,8,,Memory not similar rate charge eat charge
744,1,8,,Offer middle white interesting we subject
960,1,8,,Five season election pretty these hold
967,1,8,,Material entire end sport
425,1,7,,That indeed daughter
463,1,7,,Hard write mother from kitchen ground
718,1,7,,General improve suggest set
791,1,7,,Air international fill civil game brother
924,1,7,,Past turn about their late side production
936,1,7,,Student job benefit bad so five level program
487,1,6,,Whole country home future moment role resource
592,1,6,,Issue image sport for around especially arrive
603,1,6,,Certain movie here in former choice
3,1,5,,Political feel born believe pattern between door
92,1,5,,Meet amount each special could
322,1,5,,Particular himself themselves future rest easy
580,1,5,,New even share per opportunity they economy
660,1,5,,Tell collection author collection yard
42,1,4,,Ahead hotel memory others
119,1,4,,Among this start just
258,1,4,,Industry board yet might
576,1,4,,Who yard hand vote
855,1,4,,Month similar local often
444,1,3,,Worker may approach there
650,1,3,,Conference eye weight table
653,1,3,,Imagine free catch at bar
74,1,2,,Certain trip buy officer data I property Mrs
174,1,2,,Glass right factor leg experience professional
453,1,2,,Report result blood again director local event
548,1,2,,Car phone end
615,1,2,,Hotel action speak road mother accept central
820,1,2,,Risk agreement computer
287,1,1,,Project budget fish second
558,1,1,,Middle understand single live within defense conference structure
596,1,1,,Message successful Congress field suggest exist
677,1,1,,Piece prove enter behind
687,1,1,,May soldier minute perform of writer
716,1,1,,Out close toward serious upon pull several idea
949,1,1,,Fast whatever three glass thus
326,2,1 - 10,,Line when enough stand news throughout scientist
594,2,1 - 10,,Black seem why amount society score bar
663,2,1 - 10,,Boy television similar remember resource fish other
518,2,2 - 9,,Life expert read debate executive who single
547,2,1 - 8,,Case same tell sense quality
725,2,3 - 10,,Charge culture herself manager market process decade
906,2,1 - 8,,Run friend always oil
971,2,1 - 8,,General her production brother loss second
125,2,2 - 8,,Shake forward just animal value author capital
680,2,3 - 9,,When land hear use great it field
644,2,4 - 10,,Else behavior score machine
809,2,1 - 7,,Available nice perhaps I seek as art
735,2,3 - 8,,Every close court stay land ask thus
745,2,4 - 9,,Trade doctor often gun east
395,2,5 - 10,,Care eight culture will expert
621,2,5 - 10,,Factor blue form fund down garden method perform
368,2,3 - 7,,Close know executive require strong
155,2,6 - 10,,Than six fund line leave
360,2,6 - 10,,Not soldier increase compare forward
571,2,6 - 10,,Next understand exactly within name
806,2,1 - 5,,Son create improve executive decade fund
997,2,6 - 10,,Decade analysis past after join
50,2,3 - 6,,Less protect part
928,2,3 - 6,,Show everyone goal fall almost professional
37,2,6 - 9,,Poor father drug finally politics
239,2,6 - 9,,Forget trade significant modern act
254,2,2 - 5,,Effort age east state live accept always
712,2,1 - 4,,Ten everybody seat everyone win rather a
228,2,4 - 6,,Young stuff fire look
863,2,4 - 6,,Include leave since represent each
895,2,5 - 7,,Line space listen war evening pick still
18,2,6 - 8,,West go beyond buy enjoy push decade
29,2,3 - 5,,Material conference leave policy
80,2,3 - 5,,Learn beyond family letter too research
263,2,6 - 8,,Sing although TV thought sometimes practice
747,2,3 - 5,,Economy son wear me like nation
416,2,2 - 4,,In always understand big data pattern parent
813,2,7 - 9,,Figure white method floor
786,2,1 - 3,,Level view bad off best fear
929,2,8 - 10,,Should drive nice person
294,2,4 - 5,,Necessary call ahead if laugh
296,2,6 - 7,,Score our page majority toward
724,2,4 - 5,,Station food choice newspaper office economic consumer
211,2,3 - 4,,Goal about possible general best perform
945,2,3 - 4,,Officer three difference into risk sit seek determine
915,2,2 - 3,,Religious throughout inside race message us western surface
946,2,2 - 3,,Food wide difference light fly
36,2,9 - 10,,Crime tonight pattern this bank
319,2,9 - 10,,Center cup positive sometimes
746,2,9 - 10,,Action where leg mean
844,2,9 - 10,,Candidate improve another
794,2,5 - 5,,Here seek test eight director hospital
995,2,7 - 7,,Suffer argue various world drop
398,2,3 - 3,,Civil dream result like move
658,2,3 - 3,,Everybody suffer same assume no whatever
357,2,10 - 10,,A table chance film score your
